Nume;Mpio;ManejoIntegradoArvenses;UsoTecnicoHerbicidas;UsoPulpaAbonos;UsoAzadon;RealizaQuemas;SombrioAdecuado;SiembraContorno;DrenajesAdecuados;AnalisisSuelos;BarrerasVivas;CaminosBuenEstado;TaludesProtegidos;CultivosAsociados;DensidadAdecuada;CoberturasMuertas;LabranzaMinima;SexoProductor;EdadProductor;NivelEducativo;ExperienciaCafe;TenenciaPropia;MiembrosHogar;Ntrab;PerteneceCooperativa;ViviendaPredio;AreaTotalHa;AreaCafeHa;AreaOtrosCultivosHa;AreaPecuariaHa;PendientePromedio;LongitudPendiente;AltitudMsnm;PrecipitacionAnualMm;DensidadSiembra;EdadCafetalMeses;SombrioPorcentaje;FertilizanteKgHa;ProduccionCafeHa;CausaErosion;SignosErosion;GravedadErosion;PerdidasEconomicasErosion;AreaPcs;ActitudPCS;VisitasExtensionista;CapacitacionesGrupales;FuenteConocimientoPCS;Disp;Inve;Apoy;Intensidad
1;Gigante;0;1;1;1;0;0;1;0;1;1;1;0;0;0;1;0;0;54;2;22;1;4;3;1;0;3.5;3;0;0.5;2;2;1450;1850;6500;36;35;1000;124;4;3;4;3;70;1;3;3;5;0;260274;1;0
2;La_Plata;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;27;9;19;1;1;4;0;1;19.6;19.6;0;0;2;0;670;2084.9;5734;48;92;2548;61;4;1;4;68;80;0;1;3;4;1;221260;1;80
3;Acevedo;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;23;20;19;1;0;10;0;1;24.3;24.3;0;0;1;2;650.9;2441.7;8402.6;57;38;1389;272;2;0;4;1;60;0;3;3;2;0;998788;0;60
4;San_Agustin;0;1;1;0;1;0;1;1;1;0;1;1;1;1;0;0;1;45;18;20;1;2;11;1;1;2.1;2.1;0;0;2;1;1127.9;2150.2;9174.4;57;76;305;302;4;2;2;0;40;1;2;2;0;1;2010750;0;40
5;Garzon;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;1;0;49;19;19;0;2;5;0;0;22.7;22.7;0;0;1;1;521.7;2267.6;9086;84;75;2195;256;2;0;4;3;15;1;1;2;1;0;2864757;0;0
6;Gigante;0;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;38;13;3;0;2;1;1;0;1.4;1.4;0;0;1;1;1447.3;2473.5;4353.7;51;45;2269;265;0;3;4;3;80;1;5;4;4;1;415645;0;0
7;La_Plata;1;0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;49;20;12;0;0;7;1;1;14;14;0;0;1;2;2375.9;2189.2;7884;83;11;1900;184;2;1;4;3;25;0;0;5;3;0;958710;1;25
8;Acevedo;0;0;1;0;1;1;1;0;1;0;0;1;1;0;1;0;1;77;12;11;1;0;7;0;1;18.1;18.1;0;0;1;0;202.5;2480.5;8718.8;20;9;1264;49;3;3;3;1;60;1;2;1;4;1;454635;1;0
9;San_Agustin;1;0;0;1;1;1;1;0;1;1;0;0;0;1;0;0;0;69;2;17;1;3;6;0;1;7.8;7.8;0;0;0;0;1119;2036.1;6983.7;79;92;1952;330;3;1;1;2;40;0;5;5;5;1;419105;0;0
10;Garzon;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;47;19;15;0;1;4;1;0;14;13.4;0.6;0;2;0;454.7;2125.4;8870.4;26;98;1560;100;2;2;1;3;25;0;2;1;5;1;2616540;0;0
11;Gigante;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0;1;1;41;9;10;1;2;5;1;1;16.9;16.9;0;0;0;2;1769.6;2214.8;8086.8;85;62;1254;188;1;0;2;3;15;1;0;5;3;0;1476903;1;0
